"grant_id","parent_grant_id","grant_name","grant_code","system_block"
1300,1290,"ГПР","P__RemontInfoGPRTab","Модуль для подрядчиков"
1301,1290,"Обращение","P__RemontInfoProblemsTab","Модуль для подрядчиков"
1302,1290,"Проекты","P__RemontInfoProjectTab","Модуль для подрядчиков"
1303,1290,"Статусы","P__RemontInfoStatusTab","Модуль для подрядчиков"
1304,1290,"Учет","P__RemontInfoAccountingTab","Модуль для подрядчиков"
1305,1290,"Этапы","P__RemontInfoStageTab","Модуль для подрядчиков"
1306,1290,"Мастера","P__RemontInfoMasterTab","Модуль для подрядчиков"
1307,1290,"Работы","P__RemontInfoWorkTab","Модуль для подрядчиков"
1308,1290,"Замеры","P__RemontInfoMeasureTab","Модуль для подрядчиков"
1309,1290,"Заявки","P__RemontInfoRequestTab","Модуль для подрядчиков"
1310,1290,"О Ремонте","P__RemontInfoTab","Модуль для подрядчиков"
1311,null,"Без группы","NONE_GROUP","Smart Remont"
1312,1265,"Смена даты и номера договора ДДУ заявки","ddu_prop_num_date_modify","Smart Remont"
1313,1290,"Фотоотчет этапов","P__RemontInfoStagePhotos","Модуль для подрядчиков"
1314,289,"Показать фотоотчет","P__ShowRemontPhotos","Модуль для подрядчиков"
1315,289,"Добавить фото","P__AddRemontPhotos","Модуль для подрядчиков"
1316,830,"Показать историю цены конструктива","OA__HandbookWorkSetPriceHistoryShow","MySpace"
1317,830,"Добавить цену конструктиву","OA__HandbookWorkSetPriceAdd","MySpace"
1318,830,"Добавить вложенный конструктив","OA__HandbookWorkSetLinkAdd","MySpace"
1319,830,"Удалить вложенный констркутив","OA__HandbookWorkSetLinkDelete","MySpace"
1320,830,"Удалить цену конструктива","OA__HandbookWorkSetPriceDelete","MySpace"
1321,830,"Добавить CWS","OA__HandbookWorkSetCWSAdd","MySpace"
1322,830,"Удалить CWS","OA__HandbookWorkSetCWSDelete","MySpace"
1323,830,"Редактировать CWS","OA__HandbookWorkSetCWSUpdate","MySpace"
1324,1236,"Зануление материала в ДС Изменение ТК","zero_tk_ds_item_price","Smart Remont"
1325,662,"Реализация","OA__RemontRealisation","MySpace"
1326,1325,"Показать реализацию","OA__RemontRealisationShow","MySpace"
1327,1325,"Подтвердить информацию клиента","OA__RemontRealisationInfoAccept","MySpace"
1328,1325,"Отправить в 1с","OA__RemontRealisationSendTo1c","MySpace"
1329,1325,"Пересчитать реализацию","OA__RemontRealisationRecount","MySpace"
1330,829,"Подрядчики","OA__HandbookContractor","MySpace"
1331,829,"Дизайн студии","OA__HandbookTechprojectDeveloper","MySpace"
1332,1330,"Показать подрядчиков","OA__HandbookContractorShow","MySpace"
1333,1330,"Редактирование подрядчиков","OA__HandbookContractorUpdate","MySpace"
1334,1331,"Показать дизайн студии","OA__HandbookTechprojectDeveloperShow","MySpace"
1335,1331,"Редактировать дизайн студии","OA__HandbookTechprojectDeveloperUpdate","MySpace"
1336,1084,"Изменение ТК","OA__RemontFormDSTk","MySpace"
1337,1336,"Показать Изменения ТК","OA__RemontFormDSTkShow","MySpace"
1338,1336,"Редактирование Изменения ТК","OA__RemontFormDSTkUpd","MySpace"
1340,1330,"Отправить в 1с","OA__HandbookContractorSendTo1c","MySpace"
1341,1037,"Отправить в 1с","OA__HandbookProviderSendTo1c","MySpace"
1342,1331,"Отправить в 1с","OA__HandbookTechprojectDeveloperSendTo1c","MySpace"
1343,null,"Комиссии","Комиссии","Smart Remont"
1344,1343,"Редактирование комиссий","fee_tab__modify","Smart Remont"
1345,1343,"Связка комиссий","fee__link","Smart Remont"
1346,1249,"Редактирование даты заявки","cr_prop_date__modify","Smart Remont"
1348,1237," Создания Доп заявок партнерами","provider_request_additional_create_partner","Smart Remont"
1349,640,"Показать договоры","PR__ShowAgreement","Модуль для поставщиков"
1350,640,"Показать статус оплаты накладных","PR__ShowInvoicePayment","Модуль для поставщиков"
1351,1257,"Ручное изменение суммы спецификации","manual__specification_change_sum","Smart Remont"
1352,1257,"Ручное изменение шаблона спецификации","manual__specification_change_template","Smart Remont"
1353,694,"Измененять признак ""Авто оплата мастерам""","OA__RemontFormHeaderIsMasterPay","MySpace"
1354,null,"Мобильный partner для мастеров","P__Mobile","Модуль для подрядчиков"
1355,1354,"Показать список ремонтов для мастера","P__MobileRemontListShow","Модуль для подрядчиков"
1356,1354,"Показать детальную информацию о ремонте для мастера","P__MobileRemontInfoShow","Модуль для подрядчиков"
1357,1354,"Принять работу мастера","P__MobileRemontAccept","Модуль для подрядчиков"
1358,1354,"Фото/видео до начало работ","P__MobileRemontMediaBeforeWork","Модуль для подрядчиков"
1359,1354,"Отправить на проверку ОКК","P__MobileRemontMediaSubmitWork","Модуль для подрядчиков"
1360,1354,"Отправить запрос на передачу ключей","P__MobileRemontKeySendRequest","Модуль для подрядчиков"
1361,1354,"Принять ключ","P__MobileKeyAccept","Модуль для подрядчиков"
1362,1354,"Проверка ОКК (мобильный)","P__MobileRemontMediaOKKCheck","Модуль для подрядчиков"
1363,1354,"Показать список уведомлений","P__MobileNotifyListShow","Модуль для подрядчиков"
1364,null,"Диспетчер","P__Dispatcher","Модуль для подрядчиков"
1365,1364,"Показать список ремонтов","P__DispatcherRemontListShow","Модуль для подрядчиков"
1366,1364,"Показать информацию о ремонте","P__DispatcherRemontInfoShow","Модуль для подрядчиков"
1367,1364,"Показать список мастеров","P__DispatcherMasterListShow","Модуль для подрядчиков"
1368,1364,"Показать занятость мастера","P__DispatcherMasterBusynessShow","Модуль для подрядчиков"
1369,1364,"Отправить запрос мастеру","P__DispatcherMasterRequest","Модуль для подрядчиков"
1370,1364,"Показать список ОКК запросов ремонта","P__DispatcherOKKShow","Модуль для подрядчиков"
1371,1364,"Проверка ОКК","P__DispatcherOKKCheck","Модуль для подрядчиков"
